kanji,kana,roman,lat,lng,class
安房川,あんぼうがわ,Anbo Gawa,30.317,130.650,River
安堵町,あんどちょう,Ando Cho,34.600,135.750,Municipality
姉島,あねじま,Ane Jima,26.550,142.150,Island
安永海山,あんえいかいざん,An-ei Kaizan,29.267,138.633,Undersea feature
阿仁川,あにがわ,Ani Gawa,40.217,140.267,River
兄島,あにじま,Ani Jima,27.117,142.217,Island
安城市,あんじょうし,Anjo Shi,34.967,137.083,Municipality
安中市,あんなかし,Annaka Shi,36.333,138.883,Municipality
安八町,あんぱちちょう,Anpachi Cho,35.333,136.667,Municipality
青ヶ島,あおがしま,Aogashima,32.450,139.767,Island
青ケ島村,あおがしまむら,Aogashima Mura,32.467,139.767,Municipality
青木村,あおきむら,Aoki Mura,36.367,138.133,Municipality
青森県,あおもりけん,Aomori Ken,40.817,140.733,Municipality
青森市,あおもりし,Aomori Shi,40.817,140.750,Municipality
青森湾,あおもりわん,Aomori Wan,40.900,140.767,Sea Area
青苗,あおなえ,Aonae,42.067,139.450,Populated area
青苗岬,あおなえみさき,Aonae Misaki,42.050,139.450,Cape
青野山,あおのやま,Aono Yama,34.467,131.800,Mountain
青島,あおしま,Aoshima,33.733,132.483,Island
青島,あおしま,Aoshima,31.800,131.483,Island
青麻山,あおそやま,Aoso Yama,38.083,140.600,Mountain
アポイ岳,アポイだけ,Apoi Dake,42.100,143.033,Mountain
荒船山,あらふねやま,Arafune Yama,36.217,138.633,Mountain
新城島,あらぐすくじま,Aragusuku Jima,24.217,123.933,Island
新城海山,あらぐすくかいざん,Aragusuku Kaizan,21.867,124.400,Undersea feature
荒海山,あらかいやま,Arakai Yama,37.033,139.650,Mountain
荒川,あらかわ,Arakawa,38.150,139.417,River
荒川,あらかわ,Arakawa,35.650,139.850,River
荒川岳,あらかわだけ,Arakawa Dake,35.500,138.167,Mountain
荒川区,あらかわく,Arakawa Ku,35.733,139.783,Municipality
荒木海山,あらきかいざん,Araki Kaizan,28.850,132.533,Undersea feature
荒木崎,あらきざき,Araki Zaki,29.133,129.217,Cape
荒木崎,あらきざき,Araki Zaki,28.283,129.917,Cape
荒雄岳,あらおだけ,Arao Dake,38.833,140.683,Mountain
荒尾市,あらおし,Arao Shi,32.983,130.433,Municipality
荒崎,あらさき,Arasaki,26.083,127.683,Cape
荒沢山,あらさわやま,Arasawa Yama,41.367,140.917,Mountain
荒島岳,あらしまだけ,Arashima Dake,35.933,136.600,Mountain
有明海,ありあけかい,Ariake Kai,32.967,130.317,Sea Area
有田川,ありだがわ,Arida Gawa,34.083,135.100,River
有田市,ありだし,Arida Shi,34.083,135.133,Municipality
有田川町,ありだがわちょう,Aridagawa Cho,34.050,135.217,Municipality
有福島,ありふくじま,Arifuku Jima,32.917,128.950,Island
有馬,ありま,Arima,34.800,135.250,Populated area
有田町,ありたちょう,Arita Cho,33.217,129.850,Municipality
厚狭川,あさがわ,Asa Gawa,34.000,131.150,River
阿佐山,あさやま,Asa Yama,34.783,132.383,Mountain
あさぎり町,あさぎりちょう,Asagiri Cho,32.233,130.900,Municipality
朝来市,あさごし,Asago Shi,35.333,134.850,Municipality
朝日町,あさひちょう,Asahi Cho,35.033,136.667,Municipality
旭岳,あさひだけ,Asahi Dake,43.667,142.850,Mountain
朝日岳,あさひだけ,Asahi Dake,38.267,139.917,Mountain
朝日岳,あさひだけ,Asahi Dake,36.833,137.733,Mountain
旭川,あさひがわ,Asahi Gawa,34.600,133.967,River
朝日町,あさひまち,Asahi Machi,38.300,140.150,Municipality
朝日町,あさひまち,Asahi Machi,36.950,137.567,Municipality
朝日村,あさひむら,Asahi Mura,36.117,137.867,Municipality
旭市,あさひし,Asahi Shi,35.717,140.650,Municipality
旭川市,あさひかわし,Asahikawa Shi,43.767,142.367,Municipality
朝霞市,あさかし,Asaka Shi,35.800,139.600,Municipality
浅川町,あさかわまち,Asakawa Machi,37.083,140.417,Municipality
浅口市,あさくちし,Asakuchi Shi,34.533,133.583,Municipality
朝倉市,あさくらし,Asakura Shi,33.417,130.667,Municipality
浅草,あさくさ,Asakusa,35.717,139.800,Populated area
浅草岳,あさくさだけ,Asakusa Dake,37.350,139.233,Mountain
浅間山,あさまやま,Asama Yama,36.400,138.517,Mountain
朝熊ヶ岳,あさまがたけ,Asamagatake,34.467,136.783,Mountain
浅間隠山,あさまかくしやま,Asamakakushi Yama,36.450,138.650,Mountain
浅虫,あさむし,Asamushi,40.883,140.867,Populated area
浅瀬石川,あせいしがわ,Aseishi Gawa,40.650,140.500,River
芦辺,あしべ,Ashibe,33.800,129.750,Populated area
芦別岳,あしべつだけ,Ashibetsu Dake,43.233,142.283,Mountain
芦別川,あしべつがわ,Ashibetsu Gawa,43.517,142.200,River
芦別市,あしべつし,Ashibetsu Shi,43.517,142.183,Municipality
芦田川,あしだがわ,Ashida Gawa,34.433,133.400,River
足利市,あしかがし,Ashikaga Shi,36.333,139.450,Municipality
芦北町,あしきたまち,Ashikita Machi,32.300,130.500,Municipality
芦ノ湖,あしのこ,Ashinoko,35.217,139.000,Lake
足尾山地,あしおさんち,Ashio Sanchi,36.533,139.500,Extensive natural feature
愛鷹山,あしたかやま,Ashitaka Yama,35.233,138.800,Mountain
芦屋町,あしやまち,Ashiya Machi,33.900,130.667,Municipality
芦屋市,あしやし,Ashiya Shi,34.733,135.300,Municipality
足摺岬,あしずりみさき,Ashizuri Misaki,32.717,133.017,Cape
足寄町,あしょろちょう,Ashoro Cho,43.250,143.550,Municipality
足寄川,あしょろがわ,Ashoro Gawa,43.233,143.567,River
阿蘇山,あそさん,Aso San,32.883,131.083,Mountain
阿蘇市,あそし,Aso Shi,32.950,131.117,Municipality
厚沢部町,あっさぶちょう,Assabu Cho,41.917,140.233,Municipality
厚沢部川,あっさぶがわ,Assabu Gawa,41.933,140.133,River
明日香村,あすかむら,Asuka Mura,34.467,135.817,Municipality
足羽川,あすわがわ,Asuwa Gawa,36.083,136.183,River
愛宕山,あたごやま,Atago Yama,35.117,139.983,Mountain
愛宕山,あたごやま,Atago Yama,35.067,135.633,Mountain
熱海市,あたみし,Atami Shi,35.100,139.067,Municipality
当間山,あてまやま,Atema Yama,37.017,138.767,Mountain
阿戸,あと,Ato,34.383,132.633,Populated area
安渡移矢岬,あといやみさき,Atoiya Misaki,44.450,146.583,Cape
阿登佐岳,あとさだけ,Atosa Dake,44.800,147.133,Mountain
アトサヌプリ,アトサヌプリ,Atosa Nupuri,43.617,144.433,Mountain
厚別川,あつべつがわ,Atsubetsu Gawa,42.417,142.217,River
厚木市,あつぎし,Atsugi Shi,35.450,139.367,Municipality
厚真町,あつまちょう,Atsuma Cho,42.717,141.883,Municipality
厚真川,あつまがわ,Atsuma Gawa,42.600,141.817,River
渥美半島,あつみはんとう,Atsumi Hanto,34.633,137.200,Extensive natural feature
阿波市,あわし,Awa Shi,34.100,134.300,Municipality
粟島,あわしま,Awa Shima,38.467,139.250,Island
粟島,あわしま,Awa Shima,34.267,133.633,Island
鮑荒崎,あわびあらさき,Awabiara Saki,38.283,141.583,Cape
粟ヶ岳,あわがたけ,Awagatake,37.550,139.183,Mountain
淡路市,あわじし,Awaji Shi,34.433,134.917,Municipality
淡路島,あわじしま,Awaji Shima,34.317,134.817,Island
芦原,あわら,Awara,36.233,136.200,Populated area
あわら市,あわらし,Awara Shi,36.217,136.233,Municipality
粟島浦村,あわしまうらむら,Awashimaura Mura,38.467,139.250,Municipality
粟津,あわづ,Awazu,36.333,136.450,Populated area
綾町,あやちょう,Aya Cho,32.000,131.250,Municipality
綾部市,あやべし,Ayabe Shi,35.300,135.267,Municipality
綾川町,あやがわちょう,Ayagawa Cho,34.250,133.917,Municipality
綾瀬市,あやせし,Ayase Shi,35.433,139.433,Municipality
莇ヶ岳,あざみがだけ,Azamigadake,34.333,131.783,Mountain
的山大島,あづちおおしま,Azuchi-oshima,33.483,129.550,Island
四阿山,あずまやさん,Azumaya San,36.533,138.417,Mountain
安曇野市,あづみのし,Azumino Shi,36.300,137.900,Municipality
梓川,あずさがわ,Azusa Gawa,36.283,137.950,River
馬琴海山,ばきんかいざん,Bakin Kaizan,22.550,128.483,Undersea feature
磐梯町,ばんだいまち,Bandai Machi,37.567,139.983,Municipality
磐梯山,ばんだいさん,Bandai San,37.600,140.067,Mountain
坂東市,ばんどうし,Bando Shi,36.050,139.883,Municipality
坂東深海盆,ばんどうしんかいぼん,Bando Shinkaibon,33.750,142.083,Undersea feature
番匠川,ばんじょうがわ,Banjo Gawa,32.950,131.917,River
芭蕉海山,ばしょうかいざん,Basho Kaizan,22.300,128.717,Undersea feature
バテイラ海山,バテイラかいざん,Bateira Kaizan,22.400,156.567,Undersea feature
米寿海山,べいじゅかいざん,Beiju Kaizan,24.500,134.333,Undersea feature
別寒辺牛川,べかんべうしがわ,Bekanbeushi Gawa,43.067,144.867,River
弁慶岬,べんけいみさき,Benkei Misaki,42.833,140.183,Cape
弁天島,べんてんじま,Benten Jima,45.533,141.917,Island
別府市,べっぷし,Beppu Shi,33.283,131.483,Municipality
別府湾,べっぷわん,Beppu Wan,33.317,131.617,Sea Area
ベルタルベ山,ベルタルベやま,Berutarube Yama,44.467,146.933,Mountain
別山,べっさん,Bessan,36.100,136.767,Mountain
別子山,べっしやま,Besshiyama,33.850,133.367,Populated area
別所,べっしょ,Bessho,36.350,138.150,Populated area
別海町,べつかいちょう,Betsukai Cho,43.400,145.117,Municipality
別飛,べっとぶ,Bettobu,45.267,148.033,Populated area
ベヨネース列岩,ベヨネースれつがん,Beyonesu Retsugan,31.883,139.917,Island
美唄市,びばいし,Bibai Shi,43.333,141.850,Municipality
美瑛町,びえいちょう,Biei Cho,43.583,142.467,Municipality
美瑛岳,びえいだけ,Biei Dake,43.433,142.700,Mountain
美深町,びふかちょう,Bifuka Cho,44.483,142.350,Municipality
美幌町,びほろちょう,Bihoro Cho,43.817,144.100,Municipality
美幌峠,びほろとうげ,Bihoro Toge,43.650,144.250,Pass
備後灘,びんごなだ,Bingo Nada,34.283,133.433,Sea Area
平取町,びらとりちょう,Biratori Cho,42.583,142.133,Municipality
枇榔島,びろうじま,Biro Jima,31.433,131.117,Island
美良島,びりょうじま,Biryo Jima,33.167,128.900,Island
備讃瀬戸,びさんせと,Bisan Seto,34.417,133.883,Sea Area
備讃諸島,びさんしょとう,Bisan Shoto,34.433,133.983,Extensive natural feature
備瀬崎,びせざき,Bise Zaki,26.717,127.883,Cape
琵琶湖,びわこ,Biwa Ko,35.250,136.083,Lake
備前市,びぜんし,Bizen Shi,34.750,134.183,Municipality
坊中,ぼうちゅう,Bochu,32.933,131.083,Populated area
坊ノ岬,ぼうのみさき,Bono Misaki,31.250,130.217,Cape
望星海山,ぼうせいかいざん,Bosei Kaizan,37.133,145.333,Undersea feature
芒種海山,ぼうしゅかいざん,Boshu Kaizan,22.800,141.450,Undersea feature
房総半島,ぼうそうはんとう,Boso Hanto,35.333,140.133,Extensive natural feature
房総海底谷,ぼうそうかいていこく,Boso Kaiteikoku,34.600,140.550,Undersea feature
武甲山,ぶこうざん,Buko Zan,35.950,139.100,Mountain
武奈ヶ岳,ぶながだけ,Bunagadake,35.267,135.900,Mountain
豊後海山,ぶんごかいざん,Bungo Kaizan,28.417,134.250,Undersea feature
文豪海山地形区,ぶんごうかいざんちけいく,Bungo Kaizan Chikeiku,22.100,128.683,Undersea feature
豊後水道,ぶんごすいどう,Bungo Suido,33.167,132.117,Sea Area
豊後大野市,ぶんごおおのし,Bungoono Shi,32.983,131.583,Municipality
豊後高田市,ぶんごたかだし,Bungotakada Shi,33.550,131.450,Municipality
文化海山,ぶんかかいざん,Bunka Kaizan,27.933,139.000,Undersea feature
文京区,ぶんきょうく,Bunkyo Ku,35.700,139.750,Municipality
文政海山,ぶんせいかいざん,Bunsei Kaizan,27.417,139.250,Undersea feature
舞台峠,ぶたいとうげ,Butai Toge,35.750,137.333,Pass
豊前市,ぶぜんし,Buzen Shi,33.617,131.133,Municipality
屛風岳,びょうぶだけ,Byobu Dake,38.100,140.483,Mountain
屛風岳,びょうぶだけ,Byobu Dake,33.217,129.400,Mountain
カストール平頂海山,カストールへいちょうかいざん,Castor Heichokaizan,25.800,146.900,Undersea feature
爺爺岳,ちゃちゃだけ,Chacha Dake,44.350,146.250,Mountain
茶路川,ちゃろがわ,Charo Gawa,42.950,144.067,River
北谷町,ちゃたんちょう,Chatan Cho,26.317,127.767,Municipality
茶臼岳,ちゃうすだけ,Chausu Dake,37.117,139.967,Mountain
茶臼山,ちゃうすやま,Chausu Yama,35.233,137.650,Mountain
千葉県,ちばけん,Chiba Ken,35.600,140.117,Municipality
千葉市,ちばし,Chiba Shi,35.600,140.100,Municipality
知夫村,ちぶむら,Chibu Mura,36.017,133.033,Municipality
知夫里島,ちぶりしま,Chiburi Shima,36.017,133.050,Island
父島,ちちじま,Chichi Jima,27.083,142.217,Island
秩父市,ちちぶし,Chichibu Shi,35.983,139.083,Municipality
父島海山,ちちじまかいざん,Chichijima Kaizan,27.783,144.567,Undersea feature
父島列島,ちちじまれっとう,Chichijima Retto,27.117,142.100,Extensive natural feature
茅ヶ崎市,ちがさきし,Chigasaki Shi,35.333,139.400,Municipality
千早赤阪村,ちはやあかさかむら,Chihayaakasaka Mura,34.467,135.617,Municipality
チキウ岬,チキウみさき,Chikiu Misaki,42.300,141.000,Cape
筑後川,ちくごがわ,Chikugo Gawa,33.133,130.350,River
筑後市,ちくごし,Chikugo Shi,33.217,130.500,Municipality
筑北村,ちくほくむら,Chikuhoku Mura,36.400,138.017,Municipality
築上町,ちくじょうまち,Chikujo Machi,33.650,131.050,Municipality
千曲川,ちくまがわ,Chikuma Gawa,36.983,138.583,River
千曲市,ちくまし,Chikuma Shi,36.533,138.117,Municipality
千種川,ちくさがわ,Chikusa Gawa,34.733,134.383,River
筑西市,ちくせいし,Chikusei Shi,36.300,139.983,Municipality
筑紫野市,ちくしのし,Chikushino Shi,33.483,130.533,Municipality
筑前海山,ちくぜんかいざん,Chikuzen Kaizan,29.183,133.800,Undersea feature
筑前町,ちくぜんまち,Chikuzen Machi,33.450,130.600,Municipality
知名町,ちなちょう,China Cho,27.333,128.567,Municipality
茅野市,ちのし,Chino Shi,36.000,138.167,Municipality
秩父別町,ちっぷべつちょう,Chippubetsu Cho,43.767,141.950,Municipality
知林ヶ島,ちりんがしま,Chiringashima,31.283,130.683,Island
散布山,ちりっぷやま,Chirippu Yama,45.333,147.917,Mountain
知立市,ちりゅうし,Chiryu Shi,35.000,137.050,Municipality
千島海盆,ちしまかいぼん,Chishima Kaibon,46.933,148.100,Undersea feature
千島・カムチャツカ海溝,ちしま・カムチャツカかいこう,Chishima-Kamuchatsuka Kaiko,42.167,147.033,Undersea feature
知多半島,ちたはんとう,Chita Hanto,34.817,136.883,Extensive natural feature
知多市,ちたし,Chita Shi,35.000,136.867,Municipality
千歳川,ちとせがわ,Chitose Gawa,43.117,141.550,River
千歳市,ちとせし,Chitose Shi,42.817,141.650,Municipality
千代田区,ちよだく,Chiyoda Ku,35.700,139.750,Municipality
千代田町,ちよだまち,Chiyoda Machi,36.217,139.450,Municipality
智頭町,ちづちょう,Chizu Cho,35.267,134.233,Municipality
長府,ちょうふ,Chofu,34.000,130.983,Populated area
調布市,ちょうふし,Chofu Shi,35.650,139.533,Municipality
長寿海山群,ちょうじゅかいざんぐん,Choju Kaizangun,24.667,134.000,Undersea feature
鳥海山,ちょうかいさん,Chokai San,39.100,140.050,Mountain
長南町,ちょうなんまち,Chonan Machi,35.383,140.233,Municipality
長生村,ちょうせいむら,Chosei Mura,35.417,140.350,Municipality
銚子市,ちょうしし,Choshi Shi,35.733,140.833,Municipality
超新星海山,ちょうしんせいかいざん,Choshinsei Kaizan,24.533,136.267,Undersea feature
朝陽海山,ちょうようかいざん,Choyo Kaizan,27.050,148.600,Undersea feature
忠別岳,ちゅうべつだけ,Chubetsu Dake,43.583,142.900,Mountain
忠別川,ちゅうべつがわ,Chubetsu Gawa,43.767,142.333,River
中国山地,ちゅうごくさんち,Chugoku Sanchi,34.933,132.867,Extensive natural feature
中央海山,ちゅうおうかいざん,Chuo Kaizan,26.067,144.017,Undersea feature
中央区,ちゅうおうく,Chuo Ku,35.667,139.767,Municipality
中央市,ちゅうおうし,Chuo Shi,35.600,138.517,Municipality
忠類川,ちゅうるいがわ,Churui Gawa,43.733,145.083,River
中禅寺湖,ちゅうぜんじこ,Chuzenji Ko,36.733,139.467,Lake
駄知,だち,Dachi,35.333,137.233,Populated area
大安,だいあん,Daian,35.100,136.533,Populated area
大菩薩嶺,だいぼさつれい,Daibosatsu Rei,35.750,138.850,Mountain
大子町,だいごまち,Daigo Machi,36.767,140.350,Municipality
第５鹿島海山,だいごかしまかいざん,Daigo-Kashima Kaizan,35.767,144.317,Undersea feature
第１鹿島海山,だいいちかしまかいざん,Daiichi-Kashima Kaizan,35.800,142.667,Undersea feature
第１紀南海山,だいいちきなんかいざん,Daiichi-Kinan Kaizan,30.467,136.300,Undersea feature
大寒海山,だいかんかいざん,Daikan Kaizan,21.400,141.633,Undersea feature
大黒島,だいこくじま,Daikoku Jima,42.950,144.867,Island
大無間山,だいむけんざん,Daimuken Zan,35.250,138.167,Mountain
大日岳,だいにちだけ,Dainichi Dake,37.833,139.667,Mountain
大日山,だいにちざん,Dainichi Zan,36.167,136.500,Mountain
大日ヶ岳,だいにちがたけ,Dainichigatake,36.000,136.833,Mountain
第２鹿島海山,だいにかしまかいざん,Daini-Kashima Kaizan,36.033,143.500,Undersea feature
第２紀南海山,だいにきなんかいざん,Daini-Kinan Kaizan,30.167,136.733,Undersea feature
大王崎,だいおうざき,Daio Zaki,34.283,136.900,Cape
第３鹿島海山,だいさんかしまかいざん,Daisan-Kashima Kaizan,36.183,143.783,Undersea feature
大山,だいせん,Daisen,35.367,133.550,Mountain
大山町,だいせんちょう,Daisen Cho,35.517,133.500,Municipality
大仙市,だいせんし,Daisen Shi,39.450,140.483,Municipality
大川山,だいせんざん,Daisen Zan,34.117,133.933,Mountain
大千軒岳,だいせんげんだけ,Daisengen Dake,41.583,140.167,Mountain
大聖寺川,だいしょうじがわ,Daishoji Gawa,36.300,136.250,River
大天井岳,だいてんじょうだけ,Daitenjo Dake,36.367,137.700,Mountain
大東海嶺,だいとうかいれい,Daito Kairei,25.583,132.300,Undersea feature
大東海嶺群,だいとうかいれいぐん,Daito Kaireigun,25.450,133.083,Undersea feature
大東市,だいとうし,Daito Shi,34.717,135.617,Municipality
大谷川,だいやがわ,Daiya Gawa,36.750,139.767,River
第４鹿島海山,だいよんかしまかいざん,Daiyon-Kashima Kaizan,36.283,143.967,Undersea feature
段ヶ峰,だんがみね,Dangamine,35.183,134.733,Mountain
男女群島,だんじょぐんとう,Danjo Gunto,32.033,128.333,Extensive natural feature
達磨山,だるまやま,Daruma Yama,34.950,138.833,Mountain
伊達市,だてし,Date Shi,42.467,140.867,Municipality
伊達市,だてし,Date Shi,37.817,140.567,Municipality
太宰府市,だざいふし,Dazaifu Shi,33.517,130.517,Municipality
デン島,デンしま,Den Shima,30.750,130.100,Island
出羽山地,でわさんち,Dewa Sanchi,39.617,140.317,Extensive natural feature
堂平山,どうだいらさん,Dodaira San,36.000,139.183,Mountain
堂が森,どうがもり,Dogamori,33.167,132.883,Mountain
島後,どうご,Dogo,36.250,133.283,Island
島後水道,どうごすいどう,Dogo Suido,36.150,133.200,Sea Area
道後山,どうごやま,Dogo Yama,35.067,133.233,Mountain
土居,どい,Doi,33.950,133.433,Populated area
土器川,どきがわ,Doki Gawa,34.300,133.800,River
独歩海山,どっぽかいざん,Doppo Kaizan,23.250,127.083,Undersea feature
土星海山,どせいかいざん,Dosei Kaizan,20.800,136.417,Undersea feature
道志村,どうしむら,Doshi Mura,35.533,139.033,Municipality
土曜海山,どようかいざん,Doyo Kaizan,27.667,140.800,Undersea feature
銅山川,どうざんがわ,Dozan Gawa,33.967,133.750,River
